seller_city,seller_state,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_photos_qty,product_category_name,review_score,review_comment_title,payment_value,payment_installments,payment_type,payment_sequential,freight_value,price,geolocation_city,geolocation_city.1,order_estimated_delivery_date,order_delivered_customer_date,order_delivered_carrier_date,order_approved_at,order_status,order_purchase_timestamp,customer_city,customer_state,delivery_time_days,category,order_handlingtime,delay_days
campinas,SP,225,16,10,14,1.0,perfumaria,4,,99.33,8,credit_card,1,13.29,58.9,sao paulo,sao paulo,2017-10-18,2017-10-10 21:25:13,10/04/2017 19:55:00,2017-10-02 11:07:15,delivered,2017-10-02 10:56:33,franca,SP,8.0,health_beauty,0,-8.0
mogi guacu,SP,1000,30,18,20,1.0,artes,5,,24.39,1,credit_card,1,19.93,239.9,sao paulo,sao paulo,2018-08-13,2018-08-07 15:27:45,07/26/2018 14:31:00,2018-07-26 03:24:27,delivered,2018-07-24 20:41:37,sao bernardo do campo,SP,13.0,computers_accessories,1,-6.0
rio de janeiro,RJ,154,18,9,15,1.0,esporte_lazer,5,,65.71,1,credit_card,1,17.87,199.0,sao paulo,sao paulo,2018-09-04,2018-08-17 18:06:29,08/08/2018 13:50:00,2018-08-08 08:55:23,delivered,2018-08-08 08:38:49,sao paulo,SP,9.0,auto,0,-18.0
sao paulo,SP,371,26,4,26,1.0,bebes,5,,107.78,8,credit_card,1,12.79,12.99,sao paulo,sao paulo,2017-12-15,2017-12-02 00:28:42,11/22/2017 13:39:59,2017-11-18 19:45:59,delivered,2017-11-18 19:28:06,mogi das cruzes,SP,13.0,bed_bath_table,0,-13.0
braganca paulista,SP,625,20,17,13,4.0,utilidades_domesticas,5,,128.45,2,credit_card,1,18.14,199.9,sao paulo,sao paulo,2018-02-26,2018-02-16 18:17:02,02/14/2018 19:46:34,2018-02-13 22:20:29,delivered,2018-02-13 21:18:39,campinas,SP,2.0,furniture_decor,0,-10.0
rio de janeiro,RJ,200,38,5,11,1.0,instrumentos_musicais,1,,96.12,2,credit_card,1,12.69,21.9,são paulo,são paulo,2017-08-01,2017-07-26 10:57:55,07/11/2017 14:58:04,2017-07-09 22:10:13,delivered,2017-07-09 21:57:05,jaragua do sul,SC,16.0,sports_leisure,0,-6.0
brejao,PE,18350,70,24,44,4.0,cool_stuff,5,,81.16,1,credit_card,1,11.85,19.9,sao paulo,sao paulo,2017-05-09,,,2017-04-13 13:25:17,invoiced,2017-04-11 12:22:08,sao paulo,SP,,perfumery,2,
penapolis,SP,900,40,8,40,2.0,moveis_decoracao,5,,51.84,3,credit_card,1,70.75,810.0,sao paulo,sao paulo,2017-06-07,2017-05-26 12:55:51,05/22/2017 10:07:46,2017-05-16 13:22:11,delivered,2017-05-16 13:10:30,timoteo,MG,9.0,housewares,0,-12.0
sao paulo,SP,400,27,13,17,1.0,eletrodomesticos,5,,341.09,6,credit_card,1,11.65,145.95,sao paulo,sao paulo,2017-03-06,2017-02-02 14:08:10,01/26/2017 14:16:31,2017-01-25 02:50:47,delivered,2017-01-23 18:29:09,curitiba,PR,9.0,telephony,1,-32.0
curitiba,PR,600,17,10,12,1.0,brinquedos,4,recomendo,51.95,1,boleto,1,11.4,53.99,sao paulo,sao paulo,2017-08-23,2017-08-16 17:14:30,08/10/2017 19:45:24,2017-07-29 12:05:32,delivered,2017-07-29 11:55:02,belo horizonte,MG,18.0,watches_gifts,0,-7.0
anapolis,GO,1100,16,10,16,1.0,cama_mesa_banho,5,,188.73,8,credit_card,1,8.88,59.99,sao paulo,sao paulo,2017-06-07,2017-05-29 11:18:31,05/18/2017 11:40:40,2017-05-16 19:50:18,delivered,2017-05-16 19:41:10,montes claros,MG,12.0,food_drink,0,-9.0
itirapina,SP,7150,50,19,45,4.0,bebes,5,,141.9,1,credit_card,1,12.98,45.0,sao paulo,sao paulo,2017-08-08,2017-07-19 14:04:48,07/14/2017 18:43:29,2017-07-13 20:10:08,delivered,2017-07-13 19:58:11,rio de janeiro,RJ,5.0,baby,0,-20.0
sao paulo,SP,250,17,7,17,3.0,instrumentos_musicais,4,,75.78,1,credit_card,1,23.32,74.0,sao paulo,sao paulo,2018-07-18,2018-06-19 12:05:52,06/11/2018 13:29:00,2018-06-09 03:13:12,delivered,2018-06-07 10:06:19,lencois paulista,SP,12.0,stationery,1,-29.0
sao paulo,SP,600,68,11,13,2.0,moveis_decoracao,4,,102.66,5,credit_card,1,13.37,49.9,sao paulo,sao paulo,2018-08-08,2018-07-30 15:52:25,07/26/2018 13:16:00,2018-07-25 17:55:14,delivered,2018-07-25 17:44:10,sao paulo,SP,4.0,tablets_printing_image,0,-9.0
tubarao,SC,200,17,7,17,4.0,construcao_ferramentas_seguranca,3,,105.28,4,credit_card,1,13.37,49.9,são paulo,são paulo,2018-03-21,2018-03-12 23:36:26,03/02/2018 21:09:20,2018-03-01 15:10:47,delivered,2018-03-01 14:14:28,caxias do sul,RS,11.0,toys,0,-9.0
lauro de freitas,BA,800,16,2,11,1.0,esporte_lazer,5,Super recomendo,157.45,10,credit_card,1,27.65,99.9,sao paulo,sao paulo,2018-07-04,2018-06-21 15:34:32,06/11/2018 14:54:00,2018-06-12 23:31:02,delivered,2018-06-07 19:03:12,piracicaba,SP,13.0,fixed_telephony,5,-13.0
imbituba,SC,400,27,5,20,2.0,perfumaria,2,,132.04,1,credit_card,1,11.34,639.0,sao paulo,sao paulo,2018-02-06,2018-01-20 01:38:59,01/03/2018 18:19:09,2018-01-02 19:09:04,delivered,2018-01-02 19:00:43,rio de janeiro,RJ,17.0,garden_tools,0,-17.0
brasilia,DF,900,40,15,20,1.0,informatica_acessorios,5,,98.94,1,credit_card,1,8.77,144.0,são paulo,são paulo,2018-01-29,2018-01-08 22:36:36,12/28/2017 18:33:05,2017-12-26 23:50:22,delivered,2017-12-26 23:41:31,guarulhos,SP,12.0,fashion_bags_accessories,0,-21.0
porto seguro,BA,1700,100,7,15,2.0,moveis_decoracao,3,,244.15,4,credit_card,1,13.71,99.0,sao paulo,sao paulo,2017-12-11,2017-11-27 18:28:00,11/23/2017 21:32:26,2017-11-21 00:14:22,delivered,2017-11-21 00:03:41,sao paulo,SP,6.0,small_appliances,0,-14.0
sao paulo,SP,500,16,10,16,1.0,cama_mesa_banho,1,Não chegou meu produto ,136.71,3,credit_card,1,16.11,25.0,sao paulo,sao paulo,2017-11-23,2017-11-08 22:22:00,10/26/2017 21:46:53,2017-10-26 16:08:14,delivered,2017-10-26 15:54:26,pacaja,PA,13.0,consoles_games,0,-15.0
guaruja,SP,2550,29,24,45,4.0,moveis_decoracao,4,,47.69,4,credit_card,1,8.88,47.9,sao paulo,sao paulo,2017-09-28,2017-10-09 22:23:46,10/06/2017 17:50:03,2017-09-19 04:04:09,delivered,2017-09-18 14:31:30,florianopolis,SC,21.0,audio,0,11.0
tabatinga,SP,800,36,8,16,2.0,cama_mesa_banho,5,,170.57,2,credit_card,1,11.85,21.99,são paulo,são paulo,2018-03-29,2018-03-19 18:08:32,03/15/2018 19:52:48,2018-03-15 09:09:31,delivered,2018-03-15 08:52:40,aparecida de goiania,GO,4.0,fashion_shoes,0,-10.0
sao paulo,SP,75,21,7,13,3.0,beleza_saude,5,Ótimo,67.5,4,credit_card,1,44.4,119.99,são paulo,são paulo,2018-02-21,2018-02-08 16:13:46,02/05/2018 22:37:28,2018-02-03 20:50:22,delivered,2018-02-03 20:37:35,sao paulo,SP,4.0,cool_stuff,0,-13.0
salto,SP,500,20,13,13,1.0,bebes,5,,353.09,10,credit_card,1,15.1,49.0,são paulo,são paulo,2018-02-21,2018-01-26 17:32:38,01/24/2018 23:16:37,2018-01-08 08:07:31,delivered,2018-01-08 07:55:29,curitiba,PR,18.0,luggage_accessories,0,-26.0
tres de maio,RS,1800,40,10,30,1.0,moveis_decoracao,5,,330.66,1,boleto,1,16.6,48.9,sao paulo,sao paulo,2018-08-17,2018-08-13 18:24:27,08/10/2018 12:29:00,2018-08-10 03:24:51,delivered,2018-08-09 11:44:40,sao paulo,SP,4.0,air_conditioning,0,-4.0
belo horizonte,MG,900,50,5,50,1.0,utilidades_domesticas,5,,45.17,1,voucher,2,16.98,219.9,sao paulo,sao paulo,2018-03-12,2018-03-21 22:03:54,02/26/2018 22:25:22,2018-02-22 02:30:46,delivered,2018-02-20 23:46:53,santo andre,SP,28.0,construction_tools_construction,1,9.0
arapongas,PR,3600,35,25,50,5.0,malas_acessorios,4,,541.0,2,credit_card,1,26.33,289.0,sao paulo,sao paulo,2018-07-18,2018-06-16 15:20:55,06/05/2018 13:24:00,2018-06-05 00:35:10,delivered,2018-06-04 00:00:13,goiania,GO,12.0,kitchen_dining_laundry_garden_furniture,1,-32.0
sao bernardo do campo,SP,300,42,2,30,2.0,informatica_acessorios,5,,139.22,2,credit_card,1,25.51,109.9,sao paulo,sao paulo,2018-03-28,2018-03-21 14:41:50,03/12/2018 21:06:37,2018-03-12 03:28:34,delivered,2018-03-12 01:50:26,sao paulo,SP,9.0,costruction_tools_garden,0,-7.0
sao paulo,SP,740,23,13,13,2.0,informatica_acessorios,5,,290.16,2,credit_card,1,7.94,27.9,são paulo,são paulo,2018-05-23,2018-05-16 20:56:24,05/10/2018 16:16:00,2018-05-03 12:55:01,delivered,2018-05-02 11:45:38,cachoeiro de itapemirim,ES,14.0,fashion_male_clothing,1,-7.0
